1	0,5	0,0135792	0,00712908	0,0067896	0,01153248	0,00738
5	12,5	0,33948	0,178227	0,17074	0,288312	0,1845
9	40,5	1,0999152	0,57745548	0,5509576	0,93413088	0,59778
13	84,5	2,2948848	1,20481452	1,1484424	1,94898912	1,24722
17	144,5	3,9243888	2,06030412	1,9631944	3,33288672	2,13282
21	220,5	5,9884272	3,14392428	2,9952136	5,08582368	3,25458
25	312,5	8,487	4,455675	4,2445	7,2078	4,6125
29	420,5	11,4201072	5,99555628	5,7110536	9,69881568	6,20658
33	544,5	14,7877488	7,76356812	7,3948744	12,55887072	8,03682
37	684,5	18,5899248	9,75971052	9,2959624	15,78796512	10,10322
41	840,5	22,8266352	11,98398348	11,4143176	19,38609888	12,40578
45	1012,5	27,49788	14,436387	13,74994	23,353272	14,9445
49	1200,5	32,6036592	17,11692108	16,3028296	27,68948448	17,71938
53	1404,5	38,1439728	20,02558572	19,0729864	32,39473632	20,73042
57	1624,5	44,1188208	23,16238092	22,0604104	37,46902752	23,97762
61	1860,5	50,5282032	26,52730668	25,2651016	42,91235808	27,46098
65	2112,5	57,37212	30,120363	28,68706	48,724728	31,1805
69	2380,5	64,6505712	33,94154988	32,3262856	54,90613728	35,13618
73	2664,5	72,3635568	37,99086732	36,1827784	61,45658592	39,32802
77	2964,5	80,5110768	42,26831532	40,2565384	68,37607392	43,75602
81	3280,5	89,0931312	46,77389388	44,5475656	75,66460128	48,42018
85	3612,5	98,10972	51,507603	49,05586	83,322168	53,3205
89	3960,5	107,5608432	56,46944268	53,7814216	91,34877408	58,45698
93	4324,5	117,4465008	61,65941292	58,7242504	99,74441952	63,82962
97	4704,5	127,7666928	67,07751372	63,8843464	108,5091043	69,43842
101	5100,5	138,5214192	72,72374508	69,2617096	117,6428285	75,28338